,mgr_r
1957-07,-0.00533016657053241
1957-08,-0.0003902104810160805
1957-09,0.018871837361422776
1957-10,-0.00840209965525804
1957-11,0.046415034969985385
1957-12,0.008385882594418987
1958-01,0.06229683523947149
1958-02,0.022582262560224144
1958-03,0.041847716957696686
1958-04,0.050176650881841846
1958-05,0.01476238199115426
1958-06,0.02543613065255735
1958-07,0.008548031682451364
1958-08,0.018461046314536034
1958-09,0.06405867890767057
1958-10,0.011643019821852089
1958-11,0.016101220688328036
1958-12,0.0258691503558581
1959-01,0.04586514400576443
1959-02,0.025473957263489173
1959-03,0.004572415833325768
1959-04,0.024045846579965075
1959-05,-0.011496791875554961
1959-06,0.028724761261016786
1959-07,0.03697932815712243
1959-08,0.0034180966202385886
1959-09,-0.021638283156539328
1959-10,0.03984677541323986
1959-11,0.0021652953492968044
1959-12,-0.00876569916279854
1960-01,-0.02957916945877902
1960-02,-0.005935675619832543
1960-03,-0.010070684002535541
1960-04,-0.003394951523724255
1960-05,0.018444850195429945
1960-06,0.02294505690999797
1960-07,0.017816479663372947
1960-08,0.03310824772006496
1960-09,-0.012248222823445905
1960-10,0.025153542568905212
1960-11,0.06764049060469901
1960-12,0.018543556624598473
1961-01,0.0691914292919887
1961-02,0.05340225011364522
1961-03,0.03859568069222665
1961-04,0.012069749057112373
1961-05,0.06561655961459069
1961-06,0.006524896952478334
1961-07,0.03634645941817957
1961-08,0.0554136749786901
1961-09,-0.0012422942449979062
1961-10,0.040798441917609896
1961-11,0.06916455532909814
1961-12,-0.024721775634214096
1962-01,-0.02113113425645141
1962-02,0.008636285422829276
1962-03,-0.0357601352103226
1962-04,-0.06637681524387831
1962-05,-0.09832199049416585
1962-06,-0.06427126836044678
1962-07,0.015405058791837158
1962-08,0.026336214015187612
1962-09,-0.05969876611968243
1962-10,-0.027803433713199245
1962-11,0.10089693321684028
1962-12,0.0013952257959812366
1963-01,0.014336272355926688
1963-02,-0.024944423325590832
1963-03,0.04887142750572128
1963-04,0.04643317037726612
