PERMNO,date,TICKER,RET,sprtrn
10107,2012-04-05,MSFT,0.009933,-0.000629
10107,2012-04-09,MSFT,-0.013325,-0.011358
10107,2012-04-10,MSFT,-0.020257,-0.017081
10107,2012-04-11,MSFT,-0.004102,0.007449
10107,2012-04-12,MSFT,0.020761,0.013779
10107,2012-04-13,MSFT,-0.005327,-0.012475
10107,2012-04-16,MSFT,0.008601,-0.000504
10107,2012-04-17,MSFT,0.011746,0.015487
10107,2012-04-18,MSFT,-0.009542,-0.004055
10107,2012-04-19,MSFT,-0.004175,-0.005934
10107,2012-04-20,MSFT,0.045469,0.001169
10107,2012-04-23,MSFT,-0.009254,-0.008408
10107,2012-04-24,MSFT,-0.006227,0.003680
10107,2012-04-25,MSFT,0.008772,0.013645
10107,2012-04-26,MSFT,-0.002795,0.006680
10107,2012-04-27,MSFT,-0.004049,0.002414
10107,2012-04-30,MSFT,0.001094,-0.003884
10107,2012-05-01,MSFT,-0.000156,0.005658
10107,2012-05-02,MSFT,-0.006560,-0.002497
10107,2012-05-03,MSFT,-0.001258,-0.007659
10107,2012-05-04,MSFT,-0.024559,-0.016147
10107,2012-05-07,MSFT,-0.010652,0.000351
10107,2012-05-08,MSFT,-0.004894,-0.004279
10107,2012-05-09,MSFT,0.008525,-0.006702
10107,2012-05-10,MSFT,-0.000650,0.002517
10107,2012-05-11,MSFT,0.013663,-0.003387
10107,2012-05-14,MSFT,-0.015404,-0.011113
10107,2012-05-15,MSFT,-0.008801,-0.005746
10107,2012-05-16,MSFT,-0.010261,-0.004404
10107,2012-05-17,MSFT,-0.006020,-0.015051
10107,2012-05-18,MSFT,-0.015141,-0.007388
10107,2012-05-21,MSFT,0.016399,0.016036
10107,2012-05-22,MSFT,0.000336,0.000486
10107,2012-05-23,MSFT,-0.021841,0.001694
10107,2012-05-24,MSFT,-0.001374,0.001380
10107,2012-05-25,MSFT,-0.000344,-0.002166
10107,2012-05-29,MSFT,0.017206,0.011079
10107,2012-05-30,MSFT,-0.007442,-0.014335
10107,2012-05-31,MSFT,-0.005112,-0.002277
10107,2012-06-01,MSFT,-0.025351,-0.024643
10107,2012-06-04,MSFT,0.003515,0.000110
10107,2012-06-05,MSFT,-0.001576,0.005727
10107,2012-06-06,MSFT,0.029644,0.023049
10107,2012-06-07,MSFT,-0.004089,-0.000106
10107,2012-06-08,MSFT,0.014369,0.008114
10107,2012-06-11,MSFT,-0.025464,-0.012620
10107,2012-06-12,MSFT,0.013670,0.011651
10107,2012-06-13,MSFT,-0.005463,-0.007023
10107,2012-06-14,MSFT,0.007209,0.010815
10107,2012-06-15,MSFT,0.023177,0.010338
10107,2012-06-18,MSFT,-0.005996,0.001445
10107,2012-06-19,MSFT,0.028820,0.009816
10107,2012-06-20,MSFT,0.007492,-0.001686
10107,2012-06-21,MSFT,-0.025703,-0.022262
10107,2012-06-22,MSFT,0.018749,0.007175
10107,2012-06-25,MSFT,-0.027199,-0.015955
10107,2012-06-26,MSFT,0.005190,0.004773
10107,2012-06-27,MSFT,0.004997,0.008985
10107,2012-06-28,MSFT,-0.008618,-0.002110
10107,2012-06-29,MSFT,0.022735,0.024920
10107,2012-07-02,MSFT,-0.000981,0.002459
10107,2012-07-03,MSFT,0.006545,0.006232
10107,2012-07-05,MSFT,-0.001951,-0.004687
10107,2012-07-06,MSFT,-0.016775,-0.009433
10107,2012-07-09,MSFT,-0.006129,-0.001639
10107,2012-07-10,MSFT,-0.008667,-0.008126
